id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Ocean Breeze,Blue Horizon,ambient,relaxed,0.33,65,0.68,0.47,0.91
12,Electric Pulse,Neon Echo,synthwave,intense,0.88,128,0.52,0.81,0.15
13,Golden Hour,Sunset Chords,indie pop,happy,0.72,115,0.85,0.76,0.40
14,Deep Focus,LoRoom,lofi,focused,0.38,75,0.57,0.58,0.80
15,City Nights,Urban Vibes,hip hop,moody,0.70,95,0.50,0.74,0.25
16,Starlit Dreams,Orbit Bloom,ambient,chill,0.29,62,0.66,0.43,0.93
17,High Voltage,Voltline,rock,intense,0.95,140,0.45,0.85,0.08
18,Cozy Cabin,Slow Stereo,jazz,relaxed,0.40,85,0.73,0.52,0.87
19,Neon Skyline,Max Pulse,pop,moody,0.78,120,0.79,0.77,0.20
20,Serene Path,Paper Lanterns,lofi,calm,0.36,70,0.62,0.56,0.83